

wavelength(nm), Y
1588.18, -18.8392
1588.17, -20.7376
1588.16, -23.6674
1588.15, -28.2959
1588.14, -31.4151
1588.13, -26.1502
1588.12, -21.9532
1588.11, -19.342
1588.1, -17.7412
1588.09, -16.8479
1588.08, -16.4965
1588.07, -16.6
1588.06, -17.1343
1588.05, -18.143
1588.04, -19.7644
1588.03, -22.3075
1588.02, -26.4015
1588.01, -31.2921
1587.99, -27.416
1587.98, -22.7082
1587.97, -19.8018
1587.96, -18.0139
1587.95, -16.964
1587.94, -16.4551
1587.93, -16.3896
1587.92, -16.7401
1587.91, -17.5457
1587.9, -18.9294
1587.89, -21.1546
1587.88, -24.7631
1587.87, -30.1718
1587.86, -28.9994
1587.85, -23.7858
1587.84, -20.5045
1587.83, -18.4773
1587.82, -17.2347
1587.81, -16.5462
1587.8, -16.3033
1587.78, -16.4755
1587.77, -17.0976
1587.76, -18.2796
1587.75, -20.2459
1587.74, -23.4449
1587.73, -28.607
1587.72, -30.6738
1587.71, -25.2185
1587.7, -21.459
1587.69, -19.1295
1587.68, -17.6561
1587.67, -16.7671
1587.66, -16.3405
1587.65, -16.3414
1587.64, -16.8006
1587.63, -17.8148
1587.62, -19.5718
1587.61, -22.432
1587.6, -27.0953
1587.59, -31.7758
1587.57, -26.989
1587.56, -22.6307
1587.55, -19.9232
1587.54, -18.1775
1587.53, -17.0679
1587.52, -16.4542
1587.51, -16.2948
1587.5, -16.6136
1587.49, -17.4911
1587.48, -19.0766
1587.47, -21.6489
1587.46, -25.7843
1587.45, -31.5872
1587.44, -29.0058
1587.43, -23.9519
1587.42, -20.7808
1587.41, -18.7227
1587.4, -17.3788
1587.39, -16.5828
1587.38, -16.2811
1587.36, -16.4848
1587.35, -17.2508
1587.34, -18.6866
1587.33, -20.9985
1587.32, -24.6358
1587.31, -30.3107
1587.3, -31.0441
1587.29, -25.3669
1587.28, -21.6396
1587.27, -19.2338
1587.26, -17.6519
1587.25, -16.6879
1587.24, -16.2667
1587.23, -16.3768
1587.22, -17.0437
1587.21, -18.333
1587.2, -20.3924
1587.19, -23.5684
1587.18, -28.6172
1587.17, -32.5308
1587.15, -26.8624
1587.14, -22.4811
1587.13, -19.6956
1587.12, -17.8787
1587.11, -16.7643
1587.1, -16.2418
1587.09, -16.2662
1587.08, -16.8283
1587.07, -17.958
1587.06, -19.7608
1587.05, -22.5078
1587.04, -26.8463
1587.03, -32.5145
1587.02, -28.4549
1587.01, -23.3337
1587, -20.1334
1586.99, -18.0843
1586.98, -16.8315
1586.97, -16.2122
1586.96, -16.1421
1586.94, -16.58
1586.93, -17.5312
1586.92, -19.0737
1586.91, -21.4251
1586.9, -25.1105
1586.89, -30.8844
1586.88, -30.121
1586.87, -24.2771
1586.86, -20.6135
1586.85, -18.3239
1586.84, -16.9291
1586.83, -16.2005
1586.82, -16.0135
1586.81, -16.3035
1586.8, -17.0606
1586.79, -18.3465
1586.78, -20.3408
1586.77, -23.4664
1586.76, -28.6034
1586.75, -31.539
1586.73, -25.4298
1586.72, -21.2296
1586.71, -18.6693
1586.7, -17.1097
1586.69, -16.2452
1586.68, -15.9147
1586.67, -16.0368
1586.66, -16.5935
1586.65, -17.6363
1586.64, -19.3171
1586.63, -21.9797
1586.62, -26.3843
1586.61, -31.797
1586.6, -26.9178
1586.59, -22.0865
1586.58, -19.1971
1586.57, -17.4324
1586.56, -16.3989
1586.55, -15.9001
1586.54, -15.8418
1586.53, -16.2004
1586.51, -17.0202
1586.5, -18.4327
1586.49, -20.7209
1586.48, -24.4957
