

wavelength(nm), Y
1557.97, -14.2995
1557.94, -15.4022
1557.9, -16.6908
1557.87, -18.2305
1557.83, -20.1306
1557.8, -22.5957
1557.77, -26.0838
1557.73, -32.0404
1557.7, -52.7277
1557.67, -32.1262
1557.63, -26.1212
1557.6, -22.6154
1557.57, -20.1414
1557.53, -18.2369
1557.5, -16.6956
1557.46, -15.4071
1557.43, -14.3055
1557.4, -13.348
1557.36, -12.5054
1557.33, -11.7569
1557.3, -11.0872
1557.26, -10.4847
1557.23, -9.94074
1557.19, -9.4484
1557.16, -9.00243
1557.13, -8.59861
1557.09, -8.23355
1557.06, -7.90447
1557.03, -7.60898
1556.99, -7.34501
1556.96, -7.11074
1556.93, -6.90448
1556.89, -6.72479
1556.86, -6.57029
1556.82, -6.43979
1556.79, -6.33234
1556.76, -6.24719
1556.72, -6.18387
1556.69, -6.14212
1556.66, -6.12192
1556.62, -6.12343
1556.59, -6.14699
1556.55, -6.19302
1556.52, -6.26203
1556.49, -6.35457
1556.45, -6.47119
1556.42, -6.61249
1556.39, -6.77912
1556.35, -6.97176
1556.32, -7.19128
1556.29, -7.43882
1556.25, -7.71573
1556.22, -8.02378
1556.18, -8.36524
1556.15, -8.74298
1556.12, -9.16056
1556.08, -9.62236
1556.05, -10.1337
1556.02, -10.7012
1555.98, -11.3331
1555.95, -12.0395
1555.92, -12.8336
