

wavelength(nm), Y
1557.67, -17.2482
1557.63, -15.566
1557.6, -14.1898
1557.57, -13.0312
1557.53, -12.0353
1557.5, -11.1646
1557.46, -10.3939
1557.43, -9.70588
1557.4, -9.08832
1557.36, -8.53266
1557.33, -8.03288
1557.3, -7.5846
1557.26, -7.18452
1557.23, -6.82989
1557.19, -6.5182
1557.16, -6.24706
1557.13, -6.01412
1557.09, -5.81715
1557.06, -5.65416
1557.03, -5.52352
1556.99, -5.42405
1556.96, -5.35511
1556.93, -5.31653
1556.89, -5.30857
1556.86, -5.33179
1556.82, -5.38691
1556.79, -5.4747
1556.76, -5.59585
1556.72, -5.75098
1556.69, -5.9407
1556.66, -6.16571
1556.62, -6.42699
1556.59, -6.72612
1556.55, -7.06544
1556.52, -7.44841
1556.49, -7.87984
1556.45, -8.36612
1556.42, -8.91548
1556.39, -9.53829
1556.35, -10.2475
1556.32, -11.0592
1556.29, -11.9941
1556.25, -13.0799
1556.22, -14.3553
1556.18, -15.8793
1556.15, -17.7489
1556.12, -20.1426
1556.08, -23.4462
1556.05, -28.7641
1556.02, -41.5006
1555.98, -31.4813
1555.95, -24.928
1555.92, -21.2169
1555.88, -18.628
1555.85, -16.6409
